,index,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
25,301,28,79,16,6,28079016_6_48,2010,2,0.3,V,0.4,V,0.5,V,0.4,V,0.3,V,0.4,V,0.5,V,0.5,V,0.3,V,0.4,V,0.3,V,0.4,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.3,V,0.4,V,0.3,V,0.4,V,0.3,V,0.3,V,0.4,V,0.3,V,0.3,V,0.0,N,0.0,N,0.0,N,1.2607142857142846
26,302,28,79,16,6,28079016_6_48,2010,3,0.3,V,0.3,V,0.4,V,0.5,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.4,V,0.3,V,0.3,V,0.4,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.3,V,0.4,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.4,V,0.3,V,0.3,V,1.1709677419354831
27,303,28,79,16,6,28079016_6_48,2010,4,0.2,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.4,V,0.4,V,0.3,V,0.3,V,0.4,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.0,N,1.2066666666666659
28,304,28,79,16,6,28079016_6_48,2010,5,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.2,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,1.1387096774193557
29,305,28,79,16,6,28079016_6_48,2010,6,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.2,V,0.2,V,0.2,V,0.3,V,0.2,V,0.2,V,0.3,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.2,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.0,N,1.2033333333333331
30,306,28,79,16,6,28079016_6_48,2010,7,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.3,V,0.2,V,0.3,V,0.3,V,0.2,V,0.3,V,0.2,V,0.3,V,0.2,V,0.3,V,0.3,V,0.2,V,0.2,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,1.2096774193548392
31,307,28,79,16,6,28079016_6_48,2010,8,0.2,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,1.2451612903225806
32,308,28,79,16,6,28079016_6_48,2010,9,0.2,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.3,V,0.4,V,0.4,V,0.3,V,0.3,V,0.3,V,0.4,V,0.3,V,0.3,V,0.2,V,0.3,V,0.3,V,0.3,V,0.4,V,0.3,V,0.2,V,0.2,V,0.2,V,0.3,V,0.4,V,0.4,V,0.4,V,0.0,N,1.3666666666666656
33,309,28,79,16,6,28079016_6_48,2010,10,0.4,V,0.4,V,0.3,V,0.3,V,0.4,V,0.6,V,0.3,V,0.3,V,0.2,V,0.3,V,0.3,V,0.2,V,0.4,V,0.4,V,0.4,V,0.3,V,0.2,V,0.3,V,0.5,V,0.6,V,0.5,V,0.6,V,0.5,V,0.4,V,0.2,V,0.6,V,0.7,V,0.8,V,0.4,V,0.3,V,0.2,V,1.4612903225806446
34,310,28,79,16,6,28079016_6_48,2010,11,0.2,V,0.4,V,0.9,V,0.8,V,0.5,V,0.5,V,0.4,V,0.3,V,0.3,V,0.3,V,0.5,V,0.6,V,0.5,V,0.3,V,0.3,V,0.5,V,0.4,V,0.5,V,0.5,V,0.3,V,0.3,V,0.4,V,0.6,V,0.5,V,0.5,V,0.4,V,0.3,V,0.5,V,0.4,V,0.4,V,0.0,N,1.5766666666666656
