,index,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
21,467,28,79,18,10,28079018_10_47,2010,10,34.0,V,30.0,V,30.0,V,12.0,V,23.0,V,31.0,V,40.0,V,29.0,V,21.0,V,10.0,V,18.0,V,13.0,V,22.0,V,19.0,V,26.0,V,17.0,V,13.0,V,22.0,V,28.0,V,38.0,V,39.0,V,41.0,V,37.0,V,25.0,V,12.0,V,30.0,V,42.0,V,52.0,V,41.0,V,8.0,V,14.0,V,27.032258064516128
22,468,28,79,18,10,28079018_10_47,2010,11,12.0,V,26.0,V,33.0,V,28.0,V,30.0,V,22.0,V,9.0,V,17.0,V,13.0,V,17.0,V,19.0,V,32.0,V,21.0,V,16.0,V,14.0,V,14.0,V,13.0,V,14.0,V,29.0,V,12.0,V,12.0,V,12.0,V,28.0,V,25.0,V,17.0,V,14.0,V,13.0,V,20.0,V,17.0,V,12.0,V,0.0,N,19.433333333333334
23,469,28,79,18,10,28079018_10_47,2010,12,9.0,V,10.0,V,14.0,V,14.0,V,12.0,V,14.0,V,10.0,V,14.0,V,18.0,V,20.0,V,25.0,V,28.0,V,48.0,V,28.0,V,12.0,V,19.0,V,12.0,V,5.0,V,7.0,V,7.0,V,9.0,V,8.0,V,10.0,V,11.0,V,13.0,V,18.0,V,32.0,V,38.0,V,32.0,V,27.0,V,17.0,V,18.193548387096776
24,590,28,79,24,10,28079024_10_47,2010,1,7.0,V,11.0,V,16.0,V,11.0,V,8.0,V,9.0,V,6.0,V,7.0,V,5.0,V,12.0,V,15.0,V,10.0,V,13.0,V,8.0,V,18.0,V,19.0,V,14.0,V,19.0,V,12.0,V,0.0,N,0.0,N,0.0,N,0.0,N,11.0,V,0.0,N,0.0,N,12.0,V,19.0,V,15.0,V,6.0,V,7.0,V,12.56
25,591,28,79,24,10,28079024_10_47,2010,2,10.0,V,21.0,V,29.0,V,24.0,V,10.0,V,9.0,V,15.0,V,10.0,V,7.0,V,13.0,V,10.0,V,15.0,V,12.0,V,0.0,N,13.0,V,7.0,V,8.0,V,13.0,V,11.0,V,8.0,V,10.0,V,8.0,V,7.0,V,12.0,V,11.0,V,15.0,V,14.0,V,10.0,V,0.0,N,0.0,N,0.0,N,13.222222222222221
26,592,28,79,24,10,28079024_10_47,2010,3,8.0,V,13.0,V,0.0,N,10.0,V,10.0,V,6.0,V,10.0,V,8.0,V,13.0,V,18.0,V,23.0,V,13.0,V,17.0,V,12.0,V,0.0,N,0.0,N,24.0,V,44.0,V,52.0,V,99.0,V,0.0,N,36.0,V,28.0,V,38.0,V,0.0,N,8.0,V,10.0,V,15.0,V,13.0,V,9.0,V,8.0,V,21.96153846153846
27,593,28,79,24,10,28079024_10_47,2010,4,8.0,V,11.0,V,9.0,V,7.0,V,13.0,V,22.0,V,13.0,V,14.0,V,18.0,V,18.0,V,20.0,V,24.0,V,13.0,V,10.0,V,13.0,V,13.0,V,8.0,V,8.0,V,9.0,V,14.0,V,17.0,V,7.0,V,14.0,V,15.0,V,16.0,V,19.0,V,23.0,V,25.0,V,29.0,V,22.0,V,0.0,N,15.966666666666667
28,594,28,79,24,10,28079024_10_47,2010,5,25.0,V,10.0,V,14.0,V,15.0,V,12.0,V,15.0,V,19.0,V,15.0,V,11.0,V,8.0,V,13.0,V,8.0,V,9.0,V,9.0,V,10.0,V,9.0,V,18.0,V,20.0,V,15.0,V,23.0,V,25.0,V,29.0,V,31.0,V,29.0,V,26.0,V,18.0,V,20.0,V,14.0,V,17.0,V,19.0,V,17.0,V,17.774193548387096
29,595,28,79,24,10,28079024_10_47,2010,6,17.0,V,16.0,V,22.0,V,20.0,V,25.0,V,16.0,V,20.0,V,15.0,V,6.0,V,9.0,V,9.0,V,7.0,V,7.0,V,12.0,V,7.0,V,8.0,V,14.0,V,16.0,V,16.0,V,14.0,V,13.0,V,16.0,V,17.0,V,26.0,V,18.0,V,14.0,V,15.0,V,23.0,V,21.0,V,23.0,V,0.0,N,16.366666666666667
30,596,28,79,24,10,28079024_10_47,2010,7,27.0,V,27.0,V,14.0,V,19.0,V,20.0,V,21.0,V,31.0,V,45.0,V,36.0,V,33.0,V,31.0,V,25.0,V,19.0,V,15.0,V,17.0,V,23.0,V,22.0,V,25.0,V,34.0,V,31.0,V,19.0,V,14.0,V,16.0,V,19.0,V,14.0,V,16.0,V,23.0,V,28.0,V,22.0,V,15.0,V,25.0,V,24.387096774193548
