,index,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
45,321,28,79,16,7,28079016_7_8,2010,10,24.0,V,25.0,V,6.0,V,10.0,V,45.0,V,60.0,V,14.0,V,17.0,V,8.0,V,7.0,V,18.0,V,6.0,V,27.0,V,29.0,V,22.0,V,9.0,V,6.0,V,20.0,V,61.0,V,90.0,V,66.0,V,56.0,V,49.0,V,23.0,V,7.0,V,68.0,V,103.0,V,134.0,V,46.0,V,8.0,V,5.0,V,35.935483870967744
46,322,28,79,16,7,28079016_7_8,2010,11,5.0,V,24.0,V,138.0,V,131.0,V,55.0,V,42.0,V,19.0,V,9.0,V,3.0,V,14.0,V,37.0,V,85.0,V,40.0,V,15.0,V,12.0,V,52.0,V,17.0,V,37.0,V,57.0,V,9.0,V,7.0,V,20.0,V,82.0,V,50.0,V,42.0,V,21.0,V,13.0,V,30.0,V,24.0,V,35.0,V,0.0,N,39.03333333333333
47,323,28,79,16,7,28079016_7_8,2010,12,19.0,V,22.0,V,29.0,V,24.0,V,12.0,V,14.0,V,17.0,V,9.0,V,33.0,V,37.0,V,64.0,V,102.0,V,173.0,V,33.0,V,7.0,V,36.0,V,150.0,V,60.0,V,15.0,V,41.0,V,47.0,V,23.0,V,16.0,V,18.0,V,13.0,V,40.0,V,96.0,V,104.0,V,72.0,V,61.0,V,27.0,V,47.12903225806452
48,370,28,79,17,7,28079017_7_8,2010,1,8.0,V,20.0,V,44.0,V,32.0,V,31.0,V,12.0,V,5.0,V,7.0,V,9.0,V,12.0,V,28.0,V,67.0,V,41.0,V,8.0,V,61.0,V,25.0,V,52.0,V,69.0,V,33.0,V,16.0,V,113.0,V,132.0,V,45.0,V,9.0,V,5.0,V,7.0,V,12.0,V,79.0,V,69.0,V,8.0,V,6.0,V,35.903225806451616
49,371,28,79,17,7,28079017_7_8,2010,2,35.0,V,110.0,V,147.0,V,74.0,V,10.0,V,13.0,V,63.0,V,28.0,V,12.0,V,22.0,V,26.0,V,21.0,V,3.0,V,11.0,V,24.0,V,46.0,V,12.0,V,18.0,V,22.0,V,9.0,V,15.0,V,10.0,V,12.0,V,7.0,V,11.0,V,23.0,V,14.0,V,5.0,V,0.0,N,0.0,N,0.0,N,30.428571428571427
50,372,28,79,17,7,28079017_7_8,2010,3,11.0,V,13.0,V,13.0,V,27.0,V,5.0,V,4.0,V,6.0,V,5.0,V,35.0,V,21.0,V,26.0,V,22.0,V,38.0,V,4.0,V,96.0,V,76.0,V,24.0,V,55.0,V,58.0,V,32.0,V,14.0,V,43.0,V,57.0,V,8.0,V,7.0,V,7.0,V,11.0,V,18.0,V,18.0,V,7.0,V,7.0,V,26.387096774193548
51,373,28,79,17,7,28079017_7_8,2010,4,4.0,V,8.0,V,5.0,V,6.0,V,6.0,V,35.0,V,5.0,V,8.0,V,4.0,V,7.0,V,13.0,V,4.0,V,3.0,V,7.0,V,6.0,V,8.0,V,4.0,V,5.0,V,17.0,V,53.0,V,49.0,V,9.0,V,21.0,V,38.0,V,23.0,V,35.0,V,42.0,V,9.0,V,6.0,V,19.0,V,0.0,N,17.0
52,374,28,79,17,7,28079017_7_8,2010,5,5.0,V,4.0,V,4.0,V,4.0,V,8.0,V,8.0,V,9.0,V,6.0,V,5.0,V,7.0,V,14.0,V,6.0,V,6.0,V,6.0,V,5.0,V,4.0,V,14.0,V,14.0,V,10.0,V,11.0,V,29.0,V,10.0,V,5.0,V,4.0,V,5.0,V,6.0,V,9.0,V,5.0,V,9.0,V,15.0,V,13.0,V,10.064516129032258
53,375,28,79,17,7,28079017_7_8,2010,6,11.0,V,6.0,V,4.0,V,11.0,V,17.0,V,4.0,V,5.0,V,6.0,V,7.0,V,7.0,V,6.0,V,7.0,V,4.0,V,16.0,V,0.0,N,0.0,N,11.0,V,14.0,V,3.0,V,3.0,V,8.0,V,20.0,V,9.0,V,4.0,V,7.0,V,5.0,V,4.0,V,5.0,V,4.0,V,8.0,V,0.0,N,9.607142857142858
54,376,28,79,17,7,28079017_7_8,2010,7,12.0,V,13.0,V,4.0,V,9.0,V,6.0,V,5.0,V,9.0,V,10.0,V,7.0,V,14.0,V,11.0,V,6.0,V,13.0,V,5.0,V,13.0,V,30.0,V,18.0,V,10.0,V,22.0,V,8.0,V,7.0,V,6.0,V,3.0,V,3.0,V,3.0,V,4.0,V,10.0,V,26.0,V,8.0,V,10.0,V,15.0,V,12.064516129032258
55,377,28,79,17,7,28079017_7_8,2010,8,3.0,V,6.0,V,3.0,V,4.0,V,3.0,V,9.0,V,13.0,V,10.0,V,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,13.25
56,378,28,79,17,7,28079017_7_8,2010,11,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,5.0,V,12.0,V,22.0,V,125.0,V,63.0,V,15.0,V,14.0,V,44.0,V,11.0,V,33.0,V,50.0,V,11.0,V,5.0,V,38.0,V,59.0,V,112.0,V,104.0,V,34.0,V,17.0,V,72.0,V,62.0,V,28.0,V,0.0,N,45.09090909090909
57,379,28,79,17,7,28079017_7_8,2010,12,15.0,V,30.0,V,32.0,V,73.0,V,29.0,V,24.0,V,12.0,V,10.0,V,73.0,V,48.0,V,53.0,V,115.0,V,166.0,V,116.0,V,20.0,V,58.0,V,131.0,V,86.0,V,14.0,V,29.0,V,39.0,V,12.0,V,15.0,V,22.0,V,41.0,V,68.0,V,186.0,V,172.0,V,233.0,V,109.0,V,39.0,V,68.61290322580645
58,434,28,79,18,7,28079018_7_8,2010,1,6.0,V,19.0,V,45.0,V,39.0,V,22.0,V,9.0,V,9.0,V,8.0,V,8.0,V,16.0,V,32.0,V,55.0,V,44.0,V,7.0,V,50.0,V,37.0,V,49.0,V,52.0,V,24.0,V,11.0,V,98.0,V,137.0,V,42.0,V,12.0,V,11.0,V,15.0,V,17.0,V,53.0,V,68.0,V,7.0,V,6.0,V,34.38709677419355
