,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
778,28,79,38,8,28079038_8_8,2021,9,25.0,V,30.0,V,33.0,V,32.0,V,41.0,V,37.0,V,31.0,V,15.0,V,21.0,V,17.0,V,22.0,V,34.0,V,42.0,V,23.0,V,24.0,V,38.0,V,32.0,V,20.0,V,22.0,V,25.0,V,16.0,V,25.0,V,21.0,V,30.0,V,22.0,V,19.0,V,53.0,V,41.0,V,39.0,V,38.0,V,0.0,N,33.13333333333333
779,28,79,38,8,28079038_8_8,2021,10,39.0,V,32.0,V,15.0,V,27.0,V,26.0,V,43.0,V,62.0,N,55.0,V,38.0,V,27.0,V,36.0,V,31.0,V,48.0,V,54.0,V,55.0,V,67.0,V,27.0,V,52.0,V,50.0,V,34.0,V,35.0,V,22.0,V,29.0,V,48.0,N,64.0,V,51.0,V,65.0,V,56.0,V,42.0,V,16.0,V,10.0,V,44.61290322580645
780,28,79,38,8,28079038_8_8,2021,11,14.0,V,21.0,V,21.0,V,45.0,V,35.0,V,32.0,V,51.0,V,63.0,V,55.0,V,50.0,V,88.0,V,55.0,V,46.0,V,41.0,V,31.0,V,51.0,V,38.0,V,50.0,V,35.0,V,36.0,V,31.0,V,44.0,V,44.0,V,36.0,V,46.0,V,55.0,V,20.0,V,13.0,V,25.0,V,62.0,V,0.0,N,45.4
781,28,79,38,8,28079038_8_8,2021,12,46.0,V,32.0,V,42.0,V,26.0,V,10.0,V,16.0,V,33.0,V,9.0,V,19.0,V,21.0,V,42.0,V,60.0,V,60.0,V,75.0,V,90.0,V,71.0,V,56.0,V,45.0,V,38.0,V,61.0,V,59.0,V,45.0,V,54.0,V,33.0,V,22.0,V,22.0,V,12.0,V,18.0,V,41.0,V,65.0,V,58.0,V,45.483870967741936
867,28,79,39,8,28079039_8_8,2021,1,15.0,V,24.0,V,37.0,V,35.0,V,60.0,V,35.0,V,31.0,V,23.0,V,14.0,V,16.0,V,43.0,V,76.0,V,100.0,V,112.0,V,111.0,V,114.0,V,114.0,V,103.0,V,79.0,V,77.0,V,18.0,V,19.0,V,11.0,V,11.0,V,17.0,V,25.0,V,32.0,V,26.0,V,21.0,V,10.0,V,9.0,V,49.935483870967744
868,28,79,39,8,28079039_8_8,2021,2,14.0,V,19.0,V,30.0,V,35.0,V,28.0,V,23.0,V,11.0,V,18.0,V,22.0,V,20.0,V,31.0,V,24.0,V,30.0,V,37.0,V,32.0,V,46.0,V,57.0,V,49.0,V,54.0,V,36.0,V,14.0,V,22.0,V,39.0,V,39.0,V,26.0,V,36.0,V,32.0,V,12.0,V,0.0,N,0.0,N,0.0,N,34.535714285714285
869,28,79,39,8,28079039_8_8,2021,3,29.0,V,31.0,V,40.0,V,48.0,V,32.0,V,17.0,V,20.0,V,34.0,V,16.0,V,33.0,V,27.0,V,21.0,V,27.0,V,19.0,V,17.0,V,11.0,V,10.0,V,12.0,V,11.0,V,8.0,V,11.0,V,29.0,V,48.0,V,48.0,V,46.0,V,34.0,V,16.0,V,15.0,V,29.0,V,22.0,V,25.0,V,29.612903225806452
870,28,79,39,8,28079039_8_8,2021,4,18.0,V,13.0,V,27.0,V,23.0,V,29.0,V,44.0,V,20.0,V,20.0,V,25.0,V,18.0,V,10.0,V,22.0,V,31.0,V,21.0,V,23.0,V,20.0,V,12.0,V,14.0,V,32.0,V,29.0,V,23.0,V,21.0,V,19.0,V,12.0,V,20.0,V,27.0,V,30.0,V,20.0,V,14.0,V,21.0,V,0.0,N,26.366666666666667
871,28,79,39,8,28079039_8_8,2021,5,15.0,V,11.0,V,10.0,V,27.0,V,35.0,V,35.0,V,29.0,V,28.0,V,14.0,V,13.0,V,12.0,V,11.0,V,12.0,V,14.0,V,12.0,V,8.0,V,15.0,V,25.0,V,12.0,V,26.0,V,37.0,V,9.0,V,8.0,V,12.0,V,18.0,V,17.0,V,20.0,V,21.0,V,20.0,V,13.0,V,19.0,V,22.322580645161292
872,28,79,39,8,28079039_8_8,2021,6,20.0,V,23.0,V,18.0,V,24.0,V,15.0,V,21.0,V,25.0,V,28.0,V,34.0,V,23.0,V,16.0,V,9.0,V,11.0,V,18.0,V,16.0,V,23.0,V,21.0,V,19.0,V,13.0,V,8.0,V,12.0,V,21.0,V,12.0,V,20.0,V,31.0,V,28.0,V,11.0,V,11.0,V,18.0,V,23.0,V,0.0,N,23.566666666666666
873,28,79,39,8,28079039_8_8,2021,7,35.0,V,37.0,V,13.0,V,10.0,V,16.0,V,17.0,V,18.0,V,18.0,V,26.0,V,32.0,V,17.0,V,10.0,V,11.0,V,14.0,V,24.0,V,29.0,V,15.0,V,10.0,V,20.0,V,33.0,V,26.0,V,31.0,V,39.0,V,10.0,V,9.0,V,17.0,V,25.0,V,27.0,V,25.0,V,17.0,V,7.0,V,24.967741935483872
874,28,79,39,8,28079039_8_8,2021,8,5.0,V,19.0,V,27.0,V,8.0,V,23.0,V,15.0,V,6.0,V,11.0,V,19.0,V,22.0,V,32.0,V,27.0,V,42.0,V,35.0,V,21.0,V,20.0,V,10.0,V,15.0,V,19.0,V,21.0,V,37.0,V,29.0,V,21.0,V,18.0,V,18.0,V,33.0,V,38.0,V,17.0,V,12.0,V,15.0,V,22.0,V,25.612903225806452
875,28,79,39,8,28079039_8_8,2021,9,19.0,V,25.0,V,38.0,V,33.0,V,39.0,V,36.0,V,35.0,V,16.0,V,22.0,V,16.0,V,27.0,V,35.0,V,36.0,V,23.0,V,25.0,V,38.0,V,32.0,V,20.0,V,24.0,V,21.0,V,13.0,V,17.0,V,18.0,V,26.0,V,24.0,V,17.0,V,52.0,V,44.0,V,38.0,V,37.0,V,0.0,N,32.8
